Year,Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total,Total
2011,929,1395,1266,5527,447,355,9919,1014,1551,1429,8832,441,682,13949,34372
2012,41674,44717,31148,104933,6733,73063,302268,40646,46108,35402,120745,5287,80979,329167,755027
2013,166827,174175,111858,431962,29552,1287,915661,174097,183920,120231,430766,23208,2648,934870,2509342
2014,211036,246596,182852,567509,41857,2690,1252540,220097,259957,193884,537721,33174,5051,1249884,3967139
2015,176826,227808,133310,536471,37182,5288,1116885,185314,241719,146197,587672,29822,8123,1198847,5119093
2016,166322,229837,133791,526982,36554,9878,1103364,175290,245426,155948,608151,29808,16525,1231148,5708848
2017,190556,263890,152065,603800,41095,9840,1261246,201295,281225,173847,714495,34177,10812,1415851,6457677
2018,466981,574668,351413,1424255,101926,10955,2930198,497705,613565,399643,1780149,90695,13455,3395212,6793950
2019,468462,595175,343883,1416285,99762,20300,2943867,498860,631768,385524,1759228,88975,27493,3391848,6733699
2020,425229,600189,378049,1440052,104392,17215,2965126,438389,645248,430506,1786622,93673,32809,3427247,6809995
2021,407545,641783,377927,1476408,108935,6104,3018702,432952,681023,411655,1838029,97747,23454,3484860,6988619
