year,country,(ISO),Refugees,Asylum-seekers,total
2016,Albania,ALB,5,0,5
2016,Algeria,DZA,0,5329,5329
2016,Antigua and Barbuda,ATG,5,0,5
2016,Egypt,EGY,116013,0,116013
2016,Argentina,ARG,357,53,410
2016,Armenia,ARM,14626,20,14646
2016,Australia,AUS,378,134,512
2016,Austria,AUT,30958,9812,40770
2016,Azerbaijan,AZE,15,8,23
2016,Belgium,BEL,9080,1798,10878
2016,Benin,BEN,0,5,5
2016,Belarus,BLR,77,9,86
2016,Bolivia (Plurinational State of),BOL,13,0,13
2016,Brazil,BRA,2591,1209,3800
2016,Bosnia and Herzegovina,BIH,15,12,27
2016,Bulgaria,BGR,15027,1961,16988
2016,Canada,CAN,2757,380,3137
2016,Chad,TCD,17,9,26
2016,China,CHN,20,35,55
2016,Chile,CHL,18,15,33
2016,Cameroon,CMR,23,0,23
2016,Congo,COG,5,5,10
2016,Dem. Rep. of the Congo,COD,11,22,33
2016,Colombia,COL,8,5,13
2016,Costa Rica,CRI,8,5,13
2016,Cuba,CUB,39,5,44
2016,Cyprus,CYP,4263,824,5087
2016,Czechia,CZE,365,17,382
2016,Denmark,DNK,18215,512,18727
2016,Djibouti,DJI,13,0,13
2016,Dominican Rep.,DOM,0,5,5
2016,Estonia,EST,76,0,76
2016,Ethiopia,ETH,9,48,57
2016,Finland,FIN,1677,130,1807
2016,France,FRA,8991,2149,11140
2016,United Kingdom of Great Britain and Northern Ireland,GBR,8269,1010,9279
2016,Georgia,GEO,425,12,437
2016,Germany,DEU,375122,100527,475649
2016,Ghana,GHA,8,122,130
2016,Guinea-Bissau,GNB,0,5,5
2016,Greece,GRC,14420,13997,28417
2016,Croatia,HRV,60,130,190
2016,Hungary,HUN,584,864,1448
2016,Iceland,ISL,37,5,42
2016,Cote d'Ivoire,CIV,5,14,19
2016,India,IND,65,35,100
2016,Indonesia,IDN,30,36,66
2016,Ireland,IRL,243,135,378
2016,Iraq,IRQ,230836,0,230836
2016,Italy,ITA,2613,548,3161
2016,Jamaica,JAM,5,0,5
2016,Jordan,JOR,648836,0,648836
2016,Japan,JPN,61,0,61
2016,Kazakhstan,KAZ,19,22,41
2016,Kenya,KEN,0,7,7
2016,Kyrgyzstan,KGZ,66,6,72
2016,Rep. of Korea,KOR,876,244,1120
2016,Kuwait,KWT,50,24,74
2016,Liberia,LBR,6,5,11
2016,Libya,LBY,142,19366,19508
2016,Lebanon,LBN,1005503,10,1005513
2016,Liechtenstein,LIE,23,0,23
2016,Sri Lanka,LKA,8,6,14
2016,Lithuania,LTU,161,28,189
2016,Luxembourg,LUX,686,334,1020
2016,Latvia,LVA,143,78,221
2016,Mauritania,MRT,417,120,537
2016,North Macedonia,MKD,13,5,18
2016,Rep. of Moldova,MDA,218,12,230
2016,Mexico,MEX,23,0,23
2016,Mali,MLI,11,5,16
2016,Malaysia,MYS,458,986,1444
2016,Montenegro,MNE,10,0,10
2016,Morocco,MAR,3242,0,3242
2016,Malta,MLT,1668,121,1789
2016,Mauritius,MUS,0,5,5
2016,Netherlands,NLD,28394,987,29381
2016,Niger,NER,7,0,7
2016,Nigeria,NGA,88,47,135
2016,Norway,NOR,11537,1083,12620
2016,Nauru,NRU,0,5,5
2016,New Zealand,NZL,61,5,66
2016,Oman,OMN,7,6,13
2016,Pakistan,PAK,13,7,20
2016,Paraguay,PRY,51,21,72
2016,Peru,PER,32,7,39
2016,Philippines,PHL,51,40,91
2016,Poland,POL,483,18,501
2016,Portugal,PRT,82,300,382
2016,Qatar,QAT,32,5,37
2016,Romania,ROU,1775,21,1796
2016,South Africa,ZAF,44,49,93
2016,Russian Federation,RUS,1319,383,1702
2016,El Salvador,SLV,5,0,5
2016,Saudi Arabia,SAU,19,10,29
2016,Senegal,SEN,0,21,21
2016,Somalia,SOM,145,0,145
2016,Spain,ESP,8205,1600,9805
2016,Serbia and Kosovo: S/RES/1244 (1999),SRB,747,0,747
2016,South Sudan,SSD,5,0,5
2016,Sudan,SDN,6997,501,7498
2016,Slovakia,SVK,54,0,54
2016,Slovenia,SVN,118,41,159
2016,Sweden,SWE,96914,7085,103999
2016,Switzerland,CHE,11159,3858,15017
2016,Thailand,THA,268,42,310
2016,Togo,TGO,5,8,13
2016,Trinidad and Tobago,TTO,31,35,66
2016,Tunisia,TUN,504,0,504
2016,Turkey,TUR,2823987,180,2824167
2016,United Arab Emirates,ARE,119,165,284
2016,Uganda,UGA,7,12,19
2016,Ukraine,UKR,446,560,1006
2016,Uruguay,URY,60,5,65
2016,United States of America,USA,6444,3364,9808
2016,Venezuela (Bolivarian Republic of),VEN,5,18,23
2016,Yemen,YEM,3249,502,3751
2016,Zambia,ZMB,5,6,11
