year,country,(ISO),Refugees,Asylum-seekers,total
2020,Albania,ALB,9,0,9
2020,Algeria,DZA,6627,0,6627
2020,Angola,AGO,0,5,5
2020,Egypt,EGY,130577,0,130577
2020,Argentina,ARG,407,83,490
2020,Armenia,ARM,14741,5,14746
2020,Australia,AUS,645,58,703
2020,Austria,AUT,54903,2820,57723
2020,Azerbaijan,AZE,34,0,34
2020,Bahrain,BHR,0,23,23
2020,Belgium,BEL,17693,2165,19858
2020,Benin,BEN,22,9,31
2020,Burkina Faso,BFA,5,0,5
2020,Belarus,BLR,64,8,72
2020,Bolivia (Plurinational State of),BOL,22,0,22
2020,Brazil,BRA,3924,4086,8010
2020,Bosnia and Herzegovina,BIH,22,10,32
2020,Bulgaria,BGR,18310,593,18903
2020,Canada,CAN,131,180,311
2020,Chad,TCD,32,6,38
2020,China,CHN,41,13,54
2020,Chile,CHL,113,32,145
2020,Cameroon,CMR,24,5,29
2020,Congo,COG,5,13,18
2020,Dem. Rep. of the Congo,COD,8,13,21
2020,Colombia,COL,8,8,16
2020,Costa Rica,CRI,5,21,26
2020,Cuba,CUB,40,5,45
2020,Cyprus,CYP,8797,4415,13212
2020,Czechia,CZE,386,12,398
2020,Denmark,DNK,19878,281,20159
2020,Djibouti,DJI,10,0,10
2020,Ecuador,ECU,142,29,171
2020,Estonia,EST,105,0,105
2020,Ethiopia,ETH,6,424,430
2020,Finland,FIN,2620,84,2704
2020,France,FRA,21849,2587,24436
2020,United Kingdom of Great Britain and Northern Ireland,GBR,10919,2231,13150
2020,Georgia,GEO,437,20,457
2020,Germany,DEU,605338,37219,642557
2020,Ghana,GHA,230,48,278
2020,Greece,GRC,36448,5965,42413
2020,Guinea,GIN,17,12,29
2020,Croatia,HRV,539,26,565
2020,Hungary,HUN,923,0,923
2020,Iceland,ISL,167,5,172
2020,Cote d'Ivoire,CIV,142,9,151
2020,India,IND,63,57,120
2020,Indonesia,IDN,23,21,44
2020,Ireland,IRL,3126,67,3193
2020,Iraq,IRQ,242163,0,242163
2020,Italy,ITA,3508,1037,4545
2020,Jordan,JOR,662790,0,662790
2020,Japan,JPN,73,0,73
2020,Kazakhstan,KAZ,14,18,32
2020,Kenya,KEN,5,5,10
2020,Kyrgyzstan,KGZ,78,8,86
2020,Rep. of Korea,KOR,1236,35,1271
2020,Kuwait,KWT,139,77,216
2020,Liberia,LBR,12,15,27
2020,Libya,LBY,717,13819,14536
2020,Lebanon,LBN,865300,0,865300
2020,Liechtenstein,LIE,32,0,32
2020,Sri Lanka,LKA,5,0,5
2020,Lithuania,LTU,463,5,468
2020,Luxembourg,LUX,2069,340,2409
2020,Latvia,LVA,314,5,319
2020,Madagascar,MDG,5,0,5
2020,Mauritania,MRT,364,55,419
2020,North Macedonia,MKD,17,5,22
2020,Rep. of Moldova,MDA,190,5,195
2020,Mexico,MEX,30,14,44
2020,Mali,MLI,20,434,454
2020,Malaysia,MYS,407,2850,3257
2020,Montenegro,MNE,0,9,9
2020,Morocco,MAR,4528,0,4528
2020,Malta,MLT,1871,381,2252
2020,Netherlands,NLD,35810,2280,38090
2020,Niger,NER,5,0,5
2020,Nigeria,NGA,308,216,524
2020,Norway,NOR,15311,340,15651
2020,Nauru,NRU,0,5,5
2020,New Zealand,NZL,72,0,72
2020,Oman,OMN,8,22,30
2020,Pakistan,PAK,43,0,43
2020,Paraguay,PRY,88,17,105
2020,Peru,PER,42,14,56
2020,Philippines,PHL,134,40,174
2020,Poland,POL,237,39,276
2020,Portugal,PRT,789,0,789
2020,Qatar,QAT,34,89,123
2020,Romania,ROU,2002,215,2217
2020,South Africa,ZAF,38,20,58
2020,Russian Federation,RUS,361,54,415
2020,El Salvador,SLV,5,0,5
2020,Saudi Arabia,SAU,173,7671,7844
2020,Senegal,SEN,0,14,14
2020,Somalia,SOM,603,15,618
2020,Spain,ESP,14660,1545,16205
2020,Serbia and Kosovo: S/RES/1244 (1999),SRB,31,40,71
2020,Sudan,SDN,93498,0,93498
2020,Slovakia,SVK,21,5,26
2020,Slovenia,SVN,322,16,338
2020,Sweden,SWE,114609,1544,116153
2020,Switzerland,CHE,19869,236,20105
2020,United Rep. of Tanzania,TZA,5,17,22
2020,Thailand,THA,226,6,232
2020,Togo,TGO,16,6,22
2020,Trinidad and Tobago,TTO,66,38,104
2020,Tunisia,TUN,1997,0,1997
2020,Turkey,TUR,3641370,0,3641370
2020,United Arab Emirates,ARE,383,6551,6934
2020,Uganda,UGA,16,8,24
2020,Ukraine,UKR,491,171,662
2020,Uruguay,URY,63,6,69
2020,United States of America,USA,8616,2630,11246
2020,Venezuela (Bolivarian Republic of),VEN,32,0,32
2020,Yemen,YEM,3609,419,4028
2020,Zambia,ZMB,20,6,26
