year,country,(ISO),Refugees,Asylum-seekers,total
2011,Algeria,DZA,0,5,5
2011,Egypt,EGY,9,85,94
2011,Armenia,ARM,6,0,6
2011,Australia,AUS,84,66,150
2011,Austria,AUT,903,456,1359
2011,Bahrain,BHR,0,5,5
2011,Belgium,BEL,312,666,978
2011,Brazil,BRA,6,13,19
2011,Bulgaria,BGR,98,70,168
2011,Canada,CAN,547,251,798
2011,Chad,TCD,5,0,5
2011,Cyprus,CYP,137,345,482
2011,Czechia,CZE,23,0,23
2011,Denmark,DNK,1197,93,1290
2011,Ecuador,ECU,11,0,11
2011,Finland,FIN,86,75,161
2011,France,FRA,351,0,351
2011,United Kingdom of Great Britain and Northern Ireland,GBR,693,339,1032
2011,Germany,DEU,10155,4713,14868
2011,Greece,GRC,10,0,10
2011,Croatia,HRV,0,5,5
2011,Hungary,HUN,42,0,42
2011,Indonesia,IDN,0,7,7
2011,Ireland,IRL,27,17,44
2011,Iraq,IRQ,323,1391,1714
2011,Italy,ITA,262,0,262
2011,Jordan,JOR,193,2618,2811
2011,Kyrgyzstan,KGZ,9,10,19
2011,Kuwait,KWT,10,10,20
2011,Lebanon,LBN,124,368,492
2011,Lithuania,LTU,5,0,5
2011,Latvia,LVA,5,11,16
2011,"China, Macao SAR",MAC,0,5,5
2011,Rep. of Moldova,MDA,11,10,21
2011,Malaysia,MYS,5,8,13
2011,Morocco,MAR,0,5,5
2011,Malta,MLT,80,72,152
2011,Netherlands,NLD,1064,231,1295
2011,Norway,NOR,171,336,507
2011,New Zealand,NZL,35,0,35
2011,Oman,OMN,7,5,12
2011,Pakistan,PAK,8,0,8
2011,Poland,POL,10,10,20
2011,Qatar,QAT,8,0,8
2011,Romania,ROU,20,27,47
2011,Russian Federation,RUS,5,13,18
2011,Saudi Arabia,SAU,14,12,26
2011,Spain,ESP,32,0,32
2011,Slovakia,SVK,23,0,23
2011,Slovenia,SVN,0,6,6
2011,Sweden,SWE,1206,485,1691
2011,Switzerland,CHE,1074,1066,2140
2011,Thailand,THA,0,8,8
2011,Tunisia,TUN,11,0,11
2011,Turkey,TUR,19,205,224
2011,United Arab Emirates,ARE,37,6,43
2011,Ukraine,UKR,43,176,219
2011,United States of America,USA,373,112,485
2011,Yemen,YEM,42,24,66
2012,Albania,ALB,0,5,5
2012,Algeria,DZA,0,236,236
2012,Egypt,EGY,12836,0,12836
2012,Argentina,ARG,40,9,49
2012,Armenia,ARM,136,340,476
2012,Australia,AUS,204,75,279
2012,Austria,AUT,1675,694,2369
2012,Azerbaijan,AZE,5,6,11
2012,Bahrain,BHR,0,5,5
2012,Belgium,BEL,355,938,1293
2012,Belarus,BLR,0,11,11
2012,Brazil,BRA,42,67,109
2012,Bosnia and Herzegovina,BIH,5,26,31
2012,Bulgaria,BGR,97,0,97
2012,Canada,CAN,533,404,937
2012,Chad,TCD,5,0,5
2012,Chile,CHL,0,5,5
2012,Cameroon,CMR,0,5,5
2012,Cuba,CUB,11,5,16
2012,Cyprus,CYP,139,946,1085
2012,Czechia,CZE,54,70,124
2012,Denmark,DNK,1903,115,2018
2012,Dominican Rep.,DOM,7,0,7
2012,Ecuador,ECU,11,0,11
2012,Finland,FIN,218,110,328
2012,France,FRA,640,0,640
2012,United Kingdom of Great Britain and Northern Ireland,GBR,1717,389,2106
2012,Georgia,GEO,140,16,156
2012,Germany,DEU,18165,5986,24151
2012,Greece,GRC,20,0,20
2012,Croatia,HRV,12,40,52
2012,Hungary,HUN,86,0,86
2012,India,IND,6,5,11
2012,Indonesia,IDN,5,48,53
2012,Ireland,IRL,38,11,49
2012,Iraq,IRQ,63586,1185,64771
2012,Italy,ITA,445,507,952
2012,Jordan,JOR,238798,491,239289
2012,Japan,JPN,0,18,18
2012,Kazakhstan,KAZ,0,14,14
2012,Kyrgyzstan,KGZ,7,34,41
2012,Rep. of Korea,KOR,0,146,146
2012,Kuwait,KWT,15,8,23
2012,Libya,LBY,0,3794,3794
2012,Lebanon,LBN,126939,242,127181
2012,Lithuania,LTU,5,5,10
2012,Latvia,LVA,17,15,32
2012,Rep. of Moldova,MDA,55,33,88
2012,Malaysia,MYS,5,83,88
2012,Montenegro,MNE,0,7,7
2012,Morocco,MAR,0,842,842
2012,Malta,MLT,191,139,330
2012,Netherlands,NLD,1449,231,1680
2012,Niger,NER,0,6,6
2012,Norway,NOR,565,306,871
2012,New Zealand,NZL,41,5,46
2012,Oman,OMN,7,5,12
2012,Pakistan,PAK,11,0,11
2012,Philippines,PHL,0,5,5
2012,Poland,POL,17,83,100
2012,Portugal,PRT,0,9,9
2012,Qatar,QAT,8,0,8
2012,Romania,ROU,152,10,162
2012,South Africa,ZAF,0,8,8
2012,Russian Federation,RUS,53,91,144
2012,Saudi Arabia,SAU,14,12,26
2012,Spain,ESP,32,320,352
2012,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,49,49
2012,Sudan,SDN,0,32,32
2012,Slovakia,SVK,24,0,24
2012,Slovenia,SVN,0,8,8
2012,Sweden,SWE,6051,3751,9802
2012,Switzerland,CHE,1391,1692,3083
2012,Thailand,THA,10,60,70
2012,Togo,TGO,0,8,8
2012,Tunisia,TUN,6,30,36
2012,Turkey,TUR,248466,200,248666
2012,United Arab Emirates,ARE,16,14,30
2012,Ukraine,UKR,63,453,516
2012,United States of America,USA,1425,367,1792
2012,Yemen,YEM,42,131,173
2013,Albania,ALB,0,15,15
2013,Algeria,DZA,0,1079,1079
2013,Egypt,EGY,131659,0,131659
2013,Argentina,ARG,159,12,171
2013,Armenia,ARM,11090,42,11132
2013,Australia,AUS,265,138,403
2013,Austria,AUT,2748,1561,4309
2013,Azerbaijan,AZE,9,5,14
2013,Belgium,BEL,1987,378,2365
2013,Belarus,BLR,35,25,60
2013,Bolivia (Plurinational State of),BOL,5,0,5
2013,Brazil,BRA,333,70,403
2013,Bosnia and Herzegovina,BIH,48,18,66
2013,Bulgaria,BGR,2104,2500,4604
2013,Canada,CAN,592,435,1027
2013,Chad,TCD,15,0,15
2013,Chile,CHL,5,5,10
2013,Cameroon,CMR,0,7,7
2013,Costa Rica,CRI,0,5,5
2013,Cuba,CUB,24,0,24
2013,Cyprus,CYP,316,1319,1635
2013,Czechia,CZE,149,25,174
2013,Denmark,DNK,3271,86,3357
2013,Dominican Rep.,DOM,5,0,5
2013,Ecuador,ECU,11,5,16
2013,Estonia,EST,0,10,10
2013,Finland,FIN,352,77,429
2013,France,FRA,1474,343,1817
