year,f004,f0511,f1217,f1859,f60plus,fother,m004,m0511,m1217,m1859,m60plus,mother
2011,929,1395,1266,5527,447,355,1014,1551,1429,8832,441,682
2012,41674,44717,31148,104933,6733,73063,40646,46108,35402,120745,5287,80979
2013,166827,174175,111858,431962,29552,1287,174097,183920,120231,430766,23208,2648
2014,211036,246596,182852,567509,41857,2690,220097,259957,193884,537721,33174,5051
2015,176826,227808,133310,536471,37182,5288,185314,241719,146197,587672,29822,8123
2016,166322,229837,133791,526982,36554,9878,175290,245426,155948,608151,29808,16525
2017,190556,263890,152065,603800,41095,9840,201295,281225,173847,714495,34177,10812
2018,466981,574668,351413,1424255,101926,10955,497705,613565,399643,1780149,90695,13455
2019,468462,595175,343883,1416285,99762,20300,498860,631768,385524,1759228,88975,27493
2020,425229,600189,378049,1440052,104392,17215,438389,645248,430506,1786622,93673,32809
2021,407545,641783,377927,1476408,108935,6104,432952,681023,411655,1838029,97747,23454
